katedra,zkratka,idno,typAkceZkr,rok,datumOd,datumDo,hodinaSkutOd,hodinaSkutDo,katedra_right,nazev,prednasejici,prednasejiciUcitIdno,jmena
KGEO,B508,8027,Př,2023,3.10.2023,2.1.2024,17:00,18:50,KGEO,Ochrana přírody a krajiny,"'RNDr. Tomáš Matějček, Ph.D.'",1472,
KGEO,B602,3528,Př,2023,19.2.2024,13.5.2024,14:00,15:50,KGEO,Specializační přednášky ze SG,"'Mgr. Petr Meyer, Ph.D.'",5855,"Kučerová Silvie Rita, RNDr. Ph.D."
KGEO,B602,9521,Př,2023,19.2.2024,13.5.2024,14:00,15:50,KGEO,Specializační přednášky ze SG,"'Mgr. Petr Meyer, Ph.D.'",5855,"Vaverka Lukáš, Mgr."
KGEO,B609,3528,Př,2023,19.2.2024,13.5.2024,14:00,15:50,KGEO,Specializační přednášky z geografie,"'Mgr. Petr Meyer, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.'","5855, 1434","Kučerová Silvie Rita, RNDr. Ph.D."
KGEO,B609,9521,Př,2023,19.2.2024,13.5.2024,14:00,15:50,KGEO,Specializační přednášky z geografie,"'Mgr. Petr Meyer, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.'","5855, 1434","Vaverka Lukáš, Mgr."
KCH,BK100,2856,Př,2023,5.1.2024,5.1.2024,12:00,15:50,KCH,Úvod do chemie,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"Škvorová Magda, Ing. Ph.D."
KCH,BK100,2856,Př,2023,10.12.2023,10.12.2023,09:00,12:50,KCH,Úvod do chemie,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"Škvorová Magda, Ing. Ph.D."
KBI,BK201,1983,Př,2023,21.10.2023,21.10.2023,17:00,19:50,KBI,Chemie a fyzika živých soustav,"",,"Benada Oldřich, RNDr. CSc."
KBI,BK201,1983,Př,2023,2.12.2023,2.12.2023,17:00,19:50,KBI,Chemie a fyzika živých soustav,"",,"Benada Oldřich, RNDr. CSc."
KBI,BK302,9624,Př,2023,9.3.2024,9.3.2024,09:00,16:50,KBI,Fylogeneze a systém bezobratlých,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8018, 278","Klečka Jan, RNDr. Ph.D."
KBI,BK333,8512,Př,2023,16.12.2023,16.12.2023,09:00,16:50,KBI,Biologie prokaryot a virů,"'RNDr. Jan Ipser, CSc.'",930,"Šebestová Janoušková Olga, Mgr. Ph.D."
KBI,BK423,930,Př,2023,16.3.2024,16.3.2024,14:00,19:50,KBI,Somatologie,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.', 'Mgr. Karina Vašinová, Ph.D.'","2939, 1546","Ipser Jan, RNDr. CSc."
KBI,BK423,930,Př,2023,6.4.2024,6.4.2024,15:00,20:50,KBI,Somatologie,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.', 'Mgr. Karina Vašinová, Ph.D.'","2939, 1546","Ipser Jan, RNDr. CSc."
CNB,BK617,8512,Př,2023,2.3.2024,2.3.2024,09:00,16:50,CNB,Molekulární biologie,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"Šebestová Janoušková Olga, Mgr. Ph.D."
KBI,BP201,1983,Př,2023,2.10.2023,18.12.2023,13:00,15:50,KBI,Chemie a fyzika živých soustav,"",,"Benada Oldřich, RNDr. CSc."
KBI,BP302,9624,Př,2023,19.2.2024,13.5.2024,09:00,10:50,KBI,Fylogeneze a systém bezobratlých,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8018, 278","Klečka Jan, RNDr. Ph.D."
KBI,BP333,8512,Př,2023,4.10.2023,3.1.2024,14:00,15:50,KBI,Biologie prokaryot a virů,"'RNDr. Jan Ipser, CSc.'",930,"Šebestová Janoušková Olga, Mgr. Ph.D."
KBI,BP423,930,Př,2023,19.2.2024,13.5.2024,17:00,18:50,KBI,Somatologie,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.', 'Mgr. Karina Vašinová, Ph.D.'","2939, 1546","Ipser Jan, RNDr. CSc."
CNB,BP617,8512,Př,2023,23.2.2024,17.5.2024,10:00,12:50,CNB,Molekulární biologie,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"Šebestová Janoušková Olga, Mgr. Ph.D."
KI,BTE,2776,Př,2023,5.10.2023,4.1.2024,14:00,14:50,KI,Bezpečnostní technologie,"",,"Krejčí Jan, RNDr. Ph.D."
KI,EDAV,6259,Př,2023,6.3.2024,15.5.2024,15:00,15:50,KI,Data Analysis and Visualisation,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'Ricardo Rodriguez Jorge, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3521, 8514, 2220","Škvára Jiří, RNDr. Ph.D."
KI,EDAV,6973,Př,2023,6.3.2024,15.5.2024,15:00,15:50,KI,Data Analysis and Visualisation,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'Ricardo Rodriguez Jorge, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3521, 8514, 2220","Beránek Pavel, Ing. Mgr."
KI,EDAV,3416,Př,2023,6.3.2024,15.5.2024,15:00,15:50,KI,Data Analysis and Visualisation,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'Ricardo Rodriguez Jorge, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3521, 8514, 2220","Babichev Sergii, prof. CSc., DSc."
KI,EDMR,3416,Př,2023,7.3.2024,16.5.2024,14:00,14:50,KI,Data Mining Techniq. based on R Software,"'Ricardo Rodriguez Jorge, Ph.D.'",8514,"Babichev Sergii, prof. CSc., DSc."
KI,EGUI,6973,Př,2023,22.2.2024,16.5.2024,08:00,09:50,KI,GUI Programming,"'RNDr. Petr Kubera, Ph.D.'",650,"Beránek Pavel, Ing. Mgr."
KFY,ELNK,166,Př,2023,23.2.2024,17.5.2024,09:00,11:50,KFY,Elektronika,"'doc. RNDr. František Lustig, CSc.'",5232,"Zukerstein Jaroslav, PhDr. Ph.D."
KI,EMLR,3416,Př,2023,5.3.2024,14.5.2024,11:00,11:50,KI,Machine Learning Based on R Software,"'Ricardo Rodriguez Jorge, Ph.D.'",8514,"Babichev Sergii, prof. CSc., DSc."
CNB,FCHM,9281,Př,2023,19.2.2024,13.5.2024,08:00,09:50,CNB,Fyzika a fyzikální chemie materiálů,"'prof. RNDr. Pavla Čapková, DrSc.', 'prof. Ing. Zdeňka Kolská, Ph.D.'","3553, 332","Daniš Stanislav, doc. RNDr. Ph.D."
KBI,K104,8512,Př,2023,16.12.2023,16.12.2023,09:00,16:50,KBI,Biologie prokaryot a virů,"'RNDr. Jan Ipser, CSc.'",930,"Šebestová Janoušková Olga, Mgr. Ph.D."
KBI,K110,4472,Př,2023,18.11.2023,18.11.2023,09:00,16:50,KBI,Obecná zoologie,"'Mgr. Karina Vašinová, Ph.D.'",1546,"Liegertová Michaela, Mgr. Ph.D."
KBI,K201,930,Př,2023,9.3.2024,9.3.2024,17:00,20:50,KBI,Genetika,"",,"Ipser Jan, RNDr. CSc."
KBI,K201,930,Př,2023,24.2.2024,24.2.2024,09:00,12:50,KBI,Genetika,"",,"Ipser Jan, RNDr. CSc."
KBI,K301,283,Př,2023,14.10.2023,14.10.2023,09:00,14:50,KBI,Fylogeneze a systém nižších rostlin,"'prof. doc. RNDr. Milan Gryndler, CSc.'",3661,"Němcová Lenka, RNDr. CSc."
KBI,K607,930,Př,2023,23.3.2024,23.3.2024,12:00,19:50,KBI,Evoluční biologie,"",,"Ipser Jan, RNDr. CSc."
KBI,KB302,9624,Př,2023,9.3.2024,9.3.2024,09:00,16:50,KBI,Fylogeneze a systém bezobratlých,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8018, 278","Klečka Jan, RNDr. Ph.D."
KBI,KB333,8512,Př,2023,16.12.2023,16.12.2023,09:00,16:50,KBI,Biologie prokaryot a virů,"'RNDr. Jan Bobek, Ph.D.', 'RNDr. Jan Ipser, CSc.'","5094, 930","Šebestová Janoušková Olga, Mgr. Ph.D."
CNB,KB617,8512,Př,2023,2.3.2024,2.3.2024,09:00,16:50,CNB,Molekulární biologie,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"Šebestová Janoušková Olga, Mgr. Ph.D."
KMA,KGE2,,Př,2023,13.10.2023,13.10.2023,14:00,17:50,KMA,Geometrie II,"'PhDr. Jiří Přibyl, Ph.D.'",267,
KBI,KN200,8018,Př,2023,20.4.2024,20.4.2024,13:00,16:50,KBI,Ekologie,"'doc. PhDr. Kateřina Jančaříková, Ph.D.'",8441,"Czerneková Michaela, Mgr. Ph.D."
CNB,KNM,4587,Př,2023,19.2.2024,13.5.2024,09:00,09:50,CNB,Kompozitní a nanokompozitní materiály,"'prof. RNDr. Pavla Čapková, DrSc.'",3553,"Ryšánek Petr, RNDr. Ph.D."
KI,KOOD,6973,Př,2023,25.11.2023,25.11.2023,11:00,12:50,KI,Objektově orientovaný návrh,"",,"Beránek Pavel, Ing. Mgr."
KI,KOTT,9114,Př,2023,11.5.2024,11.5.2024,14:00,14:50,KI,Optimalizace,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.'","449, 650","Moosaei Hossein, Dr. Ph.D."
KI,KSOC,3416,Př,2023,27.4.2024,27.4.2024,16:00,17:50,KI,Soft Computing,"'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","650, 2239","Babichev Sergii, prof. CSc., DSc."
KI,KVICT,2776,Př,2023,6.4.2024,6.4.2024,09:00,10:50,KI,Využití ICT ve výuce,"",,"Krejčí Jan, RNDr. Ph.D."
KI,KVICT,2776,Př,2023,6.4.2024,6.4.2024,11:00,12:50,KI,Využití ICT ve výuce,"",,"Krejčí Jan, RNDr. Ph.D."
KCH,M100,2855,Př,2023,2.10.2023,18.12.2023,10:00,11:50,KCH,Fyzikální chemie NMgr.,"'prof. Ing. Zdeňka Kolská, Ph.D.'",332,"Jirsák Jan, doc. RNDr. Ph.D."
KCH,M100,2856,Př,2023,2.10.2023,18.12.2023,10:00,11:50,KCH,Fyzikální chemie NMgr.,"'prof. Ing. Zdeňka Kolská, Ph.D.'",332,"Škvorová Magda, Ing. Ph.D."
KCH,M102,8198,Př,2023,4.10.2023,3.1.2024,13:00,14:50,KCH,Environmental Biotechnology,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"Al Souki Karim, Ph.D."
KCH,M104,1064,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Čermák Jan, doc. Ing. CSc."
KCH,M104,4310,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Šícha Václav, RNDr. Ph.D."
KCH,M104,4587,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Ryšánek Petr, RNDr. Ph.D."
KCH,M104,2856,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Škvorová Magda, Ing. Ph.D."
KCH,M104,4117,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Vrtoch Ľuboš, RNDr. PhD., Ph.D."
KCH,M104,332,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Kolská Zdeňka, prof. Ing. Ph.D."
KCH,M104,1503,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Štofik Marcel, Mgr. Ph.D."
KCH,M104,5431,Př,2023,4.10.2023,3.1.2024,10:00,11:50,KCH,"Metody charakterizace látek a materiálů
","",,"Henych Jiří, Ing. Ph.D."
KGEO,M105,6384,Př,2023,4.10.2023,3.1.2024,15:00,16:50,KGEO,Didaktika geografie I,"'RNDr. Silvie Rita Kučerová, Ph.D.'",3528,"Trahorsch Petr, Mgr. Ph.D."
KGEO,M215,4303,Př,2023,21.2.2024,15.5.2024,10:00,11:50,KGEO,Metody vědecké práce,"'doc. Mgr. Pavel Raška, Ph.D.'",1434,"Dolejš Martin, Mgr. Ph.D."
KGEO,M220,3528,Př,2023,22.2.2024,16.5.2024,09:00,09:50,KGEO,Didaktika geografie II,"'Mgr. Petr Trahorsch, Ph.D.'",6384,"Kučerová Silvie Rita, RNDr. Ph.D."
KBI,M302,5471,Př,2023,6.10.2023,5.1.2024,13:00,14:50,KBI,Plant Biotechnology,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"Auer Malinská Hana, Mgr. Ph.D."
KBI,M304,4273,Př,2023,5.10.2023,4.1.2024,08:00,09:50,KBI,Ekotoxikologie,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"Krystyník Pavel, doc. Ing. Ph.D."
KGEO,M305,7684,Př,2023,4.10.2023,3.1.2024,15:00,16:50,KGEO,Geografický výzkum v zahraničí,"'Mgr. Vladan Hruška, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.'","4222, 1434","Smutná Zdeňka, Mgr."
KGEO,M314,9521,Př,2023,5.10.2023,4.1.2024,10:00,11:50,KGEO,Aktuální problémy Evropy,"'doc. RNDr. Jiří Anděl, CSc.'",312,"Vaverka Lukáš, Mgr."
KGEO,M316,9521,Př,2023,2.10.2023,18.12.2023,14:00,15:50,KGEO,Fyzická geografie Evropy,"'Mgr. Jiří Riezner, Ph.D.'",3164,"Vaverka Lukáš, Mgr."
KGEO,M409,315,Př,2023,20.2.2024,14.5.2024,11:00,12:50,KGEO,Metody geografického výzkumu krajiny,"'doc. RNDr. Martin Balej, Ph.D.'",313,"Farský Ivan, RNDr. CSc."
KBI,MA207,8526,Př,2023,5.10.2023,4.1.2024,08:00,08:50,KBI,Metody sledování zvířat,"",,"Gloneková Markéta, Ing. Ph.D."
KBI,ME100,9523,Př,2023,22.2.2024,16.5.2024,11:00,12:50,KBI,Fyziologie a molekul. biologie živ. buňk,"'doc. MUDr. Vladislav Mareš, DrSc.', 'Mgr. Marian Rupert'","281, 5275","Budková Kateřina, Mgr."
CNB,ME204,1503,Př,2023,20.2.2024,14.5.2024,08:00,08:50,CNB,Mikrofluid. systémy a biologická analýza,"",,"Štofik Marcel, Mgr. Ph.D."
KBI,ME300,5094,Př,2023,26.2.2024,6.5.2024,14:00,17:50,KBI,Pokroky v mol. biologii bakterií a virů,"'RNDr. Pavel Branny, CSc.'",8154,"Bobek Jan, RNDr. Ph.D."
KFY,MK302,4680,Př,2023,21.10.2023,21.10.2023,15:00,18:50,KFY,Fyzika pevných látek,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"Matoušek Jindřich, Mgr. Ph.D."
KFY,MK302,4680,Př,2023,7.10.2023,7.10.2023,15:00,18:50,KFY,Fyzika pevných látek,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"Matoušek Jindřich, Mgr. Ph.D."
